monster_id, hp, attack, defense, experience, gold, name
0, 50, 20, 1, 1, 1, 绿头怪
1, 70, 15, 2, 2, 2, 红头怪
2, 100, 20, 5, 3, 3, 小蝙蝠
3, 200, 35, 10, 5, 5, 青头怪
4, 110, 25, 5, 5, 4, 骷髅人
5, 150, 40, 20, 8, 6, 骷髅士兵
6, 300, 75, 45, 13, 10, 兽面人
7, 450, 150, 90, 22, 19, 初级卫兵
8, 150, 65, 30, 10, 8, 大蝙蝠
9, 550, 160, 90, 25, 20, 红蝙蝠
10, 1300, 300, 150, 40, 35, 白衣武士
11, 700, 250, 125, 32, 30, 怪王
12, 500, 400, 260, 47, 45, 红衣法师
13, 15000, 1000, 1000, 100, 100, 红衣魔王
14, 850, 350, 200, 45, 40, 金甲卫士
15, 900, 750, 650, 77, 70, 金甲队长
16, 400, 90, 50, 15, 12, 骷髅队长
17, 1500, 830, 730, 80, 70, 灵法师
18, 1200, 980, 900, 88, 75, 灵武士
19, 30000, 1700, 1500, 250, 220, 冥灵魔王
20, 250, 120, 70, 20, 17, 麻衣法师
21, 2000, 680, 590, 70, 65, 冥战士
22, 2500, 900, 850, 84, 75, 冥队长
23, 125, 50, 25, 10, 7, 初级法师
24, 100, 200, 110, 30, 25, 高级法师
25, 500, 115, 65, 15, 15, 石头怪人
26, 900, 450, 330, 50, 50, 兽面战士
27, 1200, 620, 520, 65, 75, 双手剑士
28, 1250, 500, 400, 55, 55, 冥卫兵
29, 1500, 560, 460, 60, 60, 高级卫兵
30, 3100, 1150, 1050, 92, 80, 影子战士
31, 99999, 5000, 4000, 0, 0, 血影
32, 99999, 9999, 5000, 0, 0, 魔龙
